image_path,n_boxes,mean_conf,gt_chars,pred_chars,doc_similarity
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0564.jpg,58,0.9831163856653011,657,617,0.8006279434850864
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0046.jpg,87,0.9876539297089544,928,869,0.7100723427935448
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1187.jpg,56,0.9805770111977711,630,593,0.7506132461161079
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1048.jpg,56,0.9823771111614311,590,561,0.8323197219808862
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1406.jpg,47,0.9850006148827195,525,489,0.7790927021696252
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0702.jpg,105,0.9867899756501672,1126,1056,0.7479376718606783
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1399.jpg,97,0.9876885543828494,1079,1011,0.724401913875598
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0517.jpg,75,0.9850415998568265,794,751,0.6912621359223301
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0231.jpg,87,0.984823109544503,1012,939,0.6376217324449001
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1196.jpg,78,0.9862845575545842,850,796,0.6707168894289186
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0725.jpg,91,0.988518528676834,855,811,0.8559423769507803
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0988.jpg,106,0.9805140288812169,1222,1141,0.6720270842149809
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1277.jpg,95,0.9862883392595229,1002,939,0.6625450798557445
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0464.jpg,87,0.984819194819857,969,898,0.740224959828602
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1393.jpg,62,0.9853535893991012,621,591,0.8003300330033003
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0993.jpg,85,0.9811816233985758,898,854,0.7682648401826484
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1436.jpg,45,0.9832791273290374,467,441,0.8612334801762115
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0061.jpg,96,0.9823015215256558,1067,991,0.6423712342079689
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1157.jpg,107,0.9834138181033054,1135,1067,0.7865576748410535
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0748.jpg,86,0.9816587692095322,919,867,0.6954087346024636
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1097.jpg,47,0.9849533718520438,521,487,0.7876984126984127
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0704.jpg,87,0.9833254896607337,1043,961,0.6856287425149701
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0130.jpg,55,0.9826446661752478,569,538,0.7985546522131888
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0293.jpg,45,0.9849170801432865,478,448,0.8250539956803455
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0131.jpg,87,0.9824873385397924,1006,933,0.6467251160391955
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0031.jpg,47,0.9829360199071998,559,525,0.8173431734317343
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1052.jpg,77,0.9815355195400061,944,874,0.5489548954895489
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1465.jpg,56,0.9864839606299861,589,556,0.8489082969432314
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1275.jpg,87,0.9826090494112918,1015,935,0.7046153846153846
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1053.jpg,67,0.9847409757464469,766,712,0.618403247631935
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1203.jpg,45,0.9825091770851769,448,422,0.9264367816091954
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0761.jpg,46,0.9805612068764471,469,442,0.884742041712404
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0493.jpg,107,0.9848949355072997,1168,1098,0.706972639011474
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1189.jpg,57,0.9845540851707404,642,601,0.8189863234111022
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0147.jpg,96,0.9826534151636411,1092,1025,0.59140292867265
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1444.jpg,66,0.9857394961166407,727,684,0.7852586817859674
